iter	Logloss
0	0.6920089167
1	0.6908842081
2	0.6897919245
3	0.6887309777
4	0.6876839147
5	0.6866625899
6	0.6856797581
7	0.6846811952
8	0.6837248361
9	0.6827741387
10	0.6818384083
11	0.6809577363
12	0.6800499178
13	0.6791421884
14	0.6782761005
15	0.6774079602
16	0.6765540148
17	0.6757153026
18	0.6749055945
19	0.6740918745
20	0.6733150807
21	0.6725381973
22	0.6717870748
23	0.6710154325
24	0.6702771871
25	0.6695158957
26	0.6688162
27	0.6681062851
28	0.6673825817
29	0.6666891115
30	0.6660267547
31	0.6653622055
32	0.6647074525
33	0.6640988442
34	0.6634879105
35	0.6628589608
36	0.6622736042
37	0.6616620495
38	0.6610725899
39	0.6605573607
40	0.6599703997
41	0.6594173474
42	0.65886454
43	0.6583261908
44	0.6577846891
45	0.6572463341
46	0.656754109
47	0.6562305721
48	0.6557558276
49	0.65526036
50	0.6547593369
51	0.6542916973
52	0.6538162824
53	0.6533465725
54	0.6528812751
55	0.6524238288
56	0.6520075734
57	0.6515787022
58	0.6511453018
59	0.6507230704
60	0.6502912212
61	0.6498854067
62	0.6494915052
63	0.6490971034
64	0.6486920647
65	0.6483111452
66	0.6478992181
67	0.6475244764
68	0.647153197
69	0.6467763144
70	0.6464101162
71	0.6460501165
72	0.6457259546
73	0.6453759555
74	0.6450215018
75	0.6446851563
76	0.644329442
77	0.6439864834
78	0.6436809086
79	0.6433848617
80	0.6430803745
81	0.6427616878
82	0.6424741217
83	0.6421612681
84	0.6418577353
85	0.6415538598
86	0.641264669
87	0.6410001173
88	0.6407231005
89	0.6404547626
90	0.6401687305
91	0.6398866237
92	0.6396379945
93	0.6393876405
94	0.6391254355
95	0.6388587046
96	0.6385996705
97	0.6383518114
98	0.6381158248
99	0.6378508972
