iter	Passed	Remaining
0	6	639
1	13	638
2	19	642
3	26	633
4	34	651
5	41	647
6	49	655
7	56	654
8	64	653
9	71	645
10	79	646
11	88	652
12	99	662
13	106	654
14	114	651
15	122	641
16	130	637
17	138	628
18	147	626
19	155	622
20	164	618
21	172	612
22	235	788
23	251	797
24	261	784
25	269	765
26	277	750
27	285	733
28	293	718
29	301	702
30	309	688
31	317	674
32	325	660
33	332	646
34	340	633
35	348	619
36	356	606
37	364	594
38	372	582
39	380	570
40	387	558
41	396	547
42	403	535
43	412	525
44	421	515
45	430	505
46	439	495
47	448	485
48	457	476
49	465	465
50	474	455
51	482	445
52	490	435
53	498	424
54	506	414
55	514	404
56	523	394
57	530	384
58	539	375
59	547	364
60	555	355
61	563	345
62	571	335
63	579	326
64	588	316
65	596	307
66	604	297
67	612	288
68	620	278
69	629	269
70	638	260
71	646	251
72	654	241
73	662	232
74	672	224
75	680	215
76	690	206
77	700	197
78	708	188
79	716	179
80	724	169
81	732	160
82	740	151
83	749	142
84	758	133
85	767	124
86	776	116
87	786	107
88	797	98
89	807	89
90	818	80
91	828	72
92	838	63
93	847	54
94	856	45
95	868	36
96	876	27
97	885	18
98	893	9
99	902	0
